C,C,W,W,W,D,D,G,UTIL
Alex Galchenyuk (11669261),Jordan Staal (11669269),Alexander Radulov (11669633),Filip Forsberg (11669657),Micheal Haley (11670087),Cam Fowler (11670383),Morgan Rielly (11670363),Roberto Luongo (11670991),Trevor Lewis (11670015)
John Tavares (11669193),Ryan Johansen (11669267),Alex Ovechkin (11669625),Evgenii Dadonov (11669655),Drake Batherson (11669845),Brooks Orpik (11670613),Marco Scandella (11670631),Laurent Brossoit (11671008),Lawson Crouse (11670043)
Tyler Seguin (11669197),Auston Matthews (11669199),Phillip Di Giuseppe (11670021),Micheal Haley (11670087),Carl Hagelin (11669989),Oliver Ekman-Larsson (11670429),Keith Yandle (11670373),Antti Raanta (11671007),Sidney Crosby (11669201)
J.T. Compher (11669289),Sidney Crosby (11669201),Andrew Shaw (11669787),Micheal Haley (11670087),Evgenii Dadonov (11669655),Luca Sbisa (11670785),Tyson Barrie (11670425),Andrei Vasilevskiy (11671001),David Pastrnak (11669623)
Mikko Koivu (11669223),Kyle Turris (11669299),Micheal Haley (11670087),Brady Tkachuk (11669705),Mike Hoffman (11669649),Adam Pelech (11670541),Scott Mayfield (11670531),Laurent Brossoit (11671008),Travis Hamonic (11670427)
Tyler Seguin (11669197),Artem Anisimov (11669333),Micheal Ferland (11669709),Ryan Dzingel (11669707),Jonathan Marchessault (11669687),Jared Spurgeon (11670455),Josh Mahura (11670695),Laurent Brossoit (11671008),Michael Grabner (11669767)
Auston Matthews (11669199),Alex Galchenyuk (11669261),Tom Wilson (11669739),Brendan Perlini (11669983),Phil Kessel (11669645),Mike Matheson (11670457),Charlie McAvoy (11670399),Laurent Brossoit (11671008),Rasmus Dahlin (11670481)
Jay Beagle (11669429),Vincent Trocheck (11669245),Viktor Arvidsson (11669715),Brett Connolly (11669965),Mikko Rantanen (11669647),Thomas Chabot (11670371),Dan Girardi (11670587),Laurent Brossoit (11671008),Patrick Kane (11669627)
Auston Matthews (11669199),Mathew Barzal (11669251),Matthew Tkachuk (11669725),Travis Konecny (11669733),Johnny Gaudreau (11669695),Ben Hutton (11670543),Andy Greene (11670507),Laurent Brossoit (11671008),Artturi Lehkonen (11669803)
John Tavares (11669193),Mika Zibanejad (11669209),Gabriel Landeskog (11669643),Matthew Tkachuk (11669725),Bryan Rust (11670013),Roman Josi (11670367),MacKenzie Weegar (11670727),Laurent Brossoit (11671008),Nikita Zaitsev (11670657)
Jared McCann (11669401),Derek Stepan (11669277),Ben Street (11670103),Blake Wheeler (11669639),Claude Giroux (11669665),Jacob Trouba (11670451),Thomas Chabot (11670371),Laurent Brossoit (11671008),Alex Ovechkin (11669625)
John Tavares (11669193),Ryan O'Reilly (11669227),Alexander Steen (11669779),Tyler Pitlick (11669981),Kenny Agostino (11670035),Keith Yandle (11670373),Jeff Petry (11670417),Laurent Brossoit (11671008),Matthew Tkachuk (11669725)
Alexander Kerfoot (11669291),Brian Boyle (11669347),Drake Batherson (11669845),Kevin Fiala (11669877),Elias Lindholm (11669701),Kris Letang (11670369),Mark Giordano (11670375),Andrei Vasilevskiy (11671001),Brayden Point (11669211)
Jonathan Toews (11669249),Brayden Point (11669211),Adam Erne (11669947),Micheal Ferland (11669709),Drake Batherson (11669845),Johnny Boychuk (11670475),John Carlson (11670365),David Rittich (11671012),Matt Duchene (11669229)
Auston Matthews (11669199),Anze Kopitar (11669283),Micheal Haley (11670087),Andrew Shaw (11669787),Jason Zucker (11669667),Connor Carrick (11670569),Dustin Byfuglien (11670377),Calvin Petersen (11671027),Jonathan Drouin (11669673)
Matt Cullen (11669397),Alexander Kerfoot (11669291),Gustav Nyquist (11669797),Phil Kessel (11669645),Mitchell Marner (11669635),Kris Letang (11670369),John Klingberg (11670389),Jaroslav Halak (11670974),Drake Batherson (11669845)
Brayden Point (11669211),Evgeny Kuznetsov (11669241),Charles Hudon (11670105),Mitchell Marner (11669635),Micheal Haley (11670087),Andy Greene (11670507),Keith Yandle (11670373),Louis Domingue (11670980),Claude Giroux (11669665)
Brayden Point (11669211),David Kampf (11669363),Blake Wheeler (11669639),Jesper Fast (11669881),Taylor Hall (11669631),Jaccob Slavin (11670445),Josh Mahura (11670695),Laurent Brossoit (11671008),Alex Tuch (11669679)
Auston Matthews (11669199),Cody Eakin (11669273),Micheal Haley (11670087),Teuvo Teravainen (11669731),James Neal (11669857),Alex Goligoski (11670439),Morgan Rielly (11670363),Ben Bishop (11670978),Aleksander Barkov (11669239)
Evgeni Malkin (11669207),Patrice Bergeron (11669195),Micheal Haley (11670087),Alexander Radulov (11669633),Blake Wheeler (11669639),Ryan Pulock (11670461),Carl Gunnarsson (11670783),Corey Crawford (11670985),Christopher Tanev (11670651)
Brayden Point (11669211),Casey Cizikas (11669349),Tyler Motte (11670041),Jake Guentzel (11669765),Brayden Schenn (11669763),Ron Hainsey (11670535),Kris Letang (11670369),Laurent Brossoit (11671008),David Pastrnak (11669623)
Derick Brassard (11669339),Patrice Bergeron (11669195),Alex Ovechkin (11669625),Jonathan Marchessault (11669687),Zach Sanford (11669969),Kris Letang (11670369),Jacob Trouba (11670451),Laurent Brossoit (11671008),Isac Lundestrom (11669613)
Tomas Plekanec (11669481),Auston Matthews (11669199),Taylor Hall (11669631),Jesper Bratt (11669843),Drake Batherson (11669845),Brad Hunt (11670575),Colton Parayko (11670491),Pekka Rinne (11670967),Neal Pionk (11670407)
Patrice Bergeron (11669195),John Tavares (11669193),Micheal Haley (11670087),Brett Connolly (11669965),Dryden Hunt (11670045),Alex Pietrangelo (11670391),P.K. Subban (11670409),Braden Holtby (11670975),Jonathan Marchessault (11669687)
Nicklas Backstrom (11669217),Brayden Point (11669211),Micheal Haley (11670087),Bobby Ryan (11669815),Chandler Stephenson (11670029),Kris Letang (11670369),Trevor van Riemsdyk (11670629),Laurent Brossoit (11671008),Dylan Larkin (11669237)
Adam Lowry (11669387),Nathan MacKinnon (11669191),Drake Batherson (11669845),Micheal Haley (11670087),Colton Sceviour (11669993),Drew Doughty (11670465),Deryk Engelland (11670697),Laurent Brossoit (11671008),Bo Horvat (11669243)
Mika Zibanejad (11669209),Matt Duchene (11669229),Jeff Skinner (11669661),Micheal Haley (11670087),Jake Guentzel (11669765),Colin Miller (11670467),Torey Krug (11670397),Jimmy Howard (11670984),Esa Lindell (11670463)
Sean Monahan (11669233),Evgeni Malkin (11669207),Patrik Laine (11669653),Brady Tkachuk (11669705),Devante Smith-Pelly (11669971),Nathan Beaulieu (11670635),Matt Dumba (11670381),Laurent Brossoit (11671008),Tyler Bertuzzi (11669873)
John Tavares (11669193),Auston Matthews (11669199),Jesper Bratt (11669843),David Pastrnak (11669623),Austin Czarnik (11670017),Brad Hunt (11670575),Madison Bowey (11670703),Laurent Brossoit (11671008),Brandon Tanev (11669925)
Jonathan Toews (11669249),Nico Hischier (11669247),Adam Erne (11669947),Brady Tkachuk (11669705),David Pastrnak (11669623),Victor Hedman (11670401),Jacob Larsson (11670687),Laurent Brossoit (11671008),Ryan Dzingel (11669707)
William Karlsson (11669275),Sebastian Aho (11669213),Dmitrij Jaskin (11670115),Warren Foegele (11669995),Drake Batherson (11669845),Alex Pietrangelo (11670391),Morgan Rielly (11670363),Laurent Brossoit (11671008),Jonathan Marchessault (11669687)
Brock Nelson (11669259),Jared McCann (11669401),Drake Batherson (11669845),Patric Hornqvist (11669719),Zach Parise (11669669),Thomas Chabot (11670371),Justin Schultz (11670533),Garret Sparks (11670999),Sean Monahan (11669233)
Brett Howden (11669329),Nathan MacKinnon (11669191),Justin Abdelkader (11669935),Jonathan Marchessault (11669687),Tom Wilson (11669739),Rasmus Ristolainen (11670431),Kris Letang (11670369),Laurent Brossoit (11671008),Ben Chiarot (11670653)
Ryan O'Reilly (11669227),Danick Martel (11669377),Mitchell Marner (11669635),Brayden Schenn (11669763),Drake Batherson (11669845),Brendan Smith (11670711),Erik Gustafsson (11670525),Laurent Brossoit (11671008),Jeff Skinner (11669661)
Nathan MacKinnon (11669191),Matt Duchene (11669229),Calle Jarnkrok (11669809),Matt Calvert (11669897),Taylor Hall (11669631),Morgan Rielly (11670363),Danny DeKeyser (11670689),Laurent Brossoit (11671008),Sean Kuraly (11669415)
Juho Lammikko (11669469),Dylan Larkin (11669237),Micheal Haley (11670087),Claude Giroux (11669665),Gabriel Landeskog (11669643),Rasmus Ristolainen (11670431),Brad Hunt (11670575),Andrei Vasilevskiy (11671001),Bo Horvat (11669243)
Alex Galchenyuk (11669261),Auston Matthews (11669199),Pat Maroon (11669975),Anders Lee (11669693),Kyle Okposo (11669813),Morgan Rielly (11670363),Ben Hutton (11670543),Laurent Brossoit (11671008),Chris Butler (11670843)
Patrice Bergeron (11669195),Anze Kopitar (11669283),Mitchell Marner (11669635),Micheal Haley (11670087),Pontus Aberg (11669791),Erik Johnson (11670501),Mark Pysyk (11670671),Laurent Brossoit (11671008),Bobby Ryan (11669815)
John Tavares (11669193),Dylan Larkin (11669237),Phil Kessel (11669645),Yanni Gourde (11669697),Drake Batherson (11669845),Radko Gudas (11670483),Jon Merrill (11670731),Calvin Petersen (11671027),David Perron (11669839)
Matt Duchene (11669229),Nathan MacKinnon (11669191),Brett Connolly (11669965),Oskar Sundqvist (11669927),Taylor Hall (11669631),Mark Giordano (11670375),Luke Witkowski (11670757),Calvin Petersen (11671027),Brady Tkachuk (11669705)
Sidney Crosby (11669201),Artem Anisimov (11669333),Micheal Haley (11670087),Drake Batherson (11669845),Gabriel Landeskog (11669643),Morgan Rielly (11670363),Drew Doughty (11670465),Jack Campbell (11671022),Jacob Larsson (11670687)
Kevin Hayes (11669263),Jesperi Kotkaniemi (11669327),Brady Tkachuk (11669705),Charles Hudon (11670105),Alex Tuch (11669679),Brady Skjei (11670489),Thomas Chabot (11670371),Laurent Brossoit (11671008),Patrick Kane (11669627)
