C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Callum Booth (11671053),Callum Booth,11671053,G,6500,TOR@CAR 11/21/2018 07:00PM ET,CAR,0
,,,,,,,,,,G,Kasimir Kaskisuo (11671059),Kasimir Kaskisuo,11671059,G,6500,TOR@CAR 11/21/2018 07:00PM ET,TOR,0
,,,,,,,,,,G,Zane McIntyre (11671036),Zane McIntyre,11671036,G,6500,BOS@DET 11/21/2018 07:30PM ET,BOS,0
,,,,,,,,,,G,Dan Vladar (11671037),Dan Vladar,11671037,G,6500,BOS@DET 11/21/2018 07:30PM ET,BOS,0
,,,,,,,,,,G,Harri Sateri (11671065),Harri Sateri,11671065,G,6500,BOS@DET 11/21/2018 07:30PM ET,DET,0
,,,,,,,,,,G,Connor Ingram (11671058),Connor Ingram,11671058,G,6500,FLA@TB 11/21/2018 07:30PM ET,TB,0
,,,,,,,,,,G,Michael Hutchinson (11671060),Michael Hutchinson,11671060,G,6500,FLA@TB 11/21/2018 07:30PM ET,FLA,0.9
,,,,,,,,,,RW,Vladimir Tarasenko (11669663),Vladimir Tarasenko,11669663,W/UTIL,6500,STL@NSH 11/21/2018 08:00PM ET,STL,4.18
,,,,,,,,,,G,Jordan Binnington (11671034),Jordan Binnington,11671034,G,6500,STL@NSH 11/21/2018 08:00PM ET,STL,0
,,,,,,,,,,G,Ville Husso (11671035),Ville Husso,11671035,G,6500,STL@NSH 11/21/2018 08:00PM ET,STL,0
,,,,,,,,,,G,Miroslav Svoboda (11671062),Miroslav Svoboda,11671062,G,6500,STL@NSH 11/21/2018 08:00PM ET,NSH,0
,,,,,,,,,,G,Troy Grosenick (11671063),Troy Grosenick,11671063,G,6500,STL@NSH 11/21/2018 08:00PM ET,NSH,0
,,,,,,,,,,D,Thomas Chabot (11670371),Thomas Chabot,11670371,D/UTIL,6500,OTT@MIN 11/21/2018 08:00PM ET,OTT,4.83
,,,,,,,,,,G,Mike Condon (11671068),Mike Condon,11671068,G,6500,OTT@MIN 11/21/2018 08:00PM ET,OTT,-0.8
